categoria,nom_video,codificador,platform,mida_sortida_mb,temps_total_sec,io_read_mb
interview,ancelotti.yuv,EVC,windows,0.52701,658.67,5.16263
interview,ancelotti.yuv,EVC,android,0.52,1041.2,2267.08
interview,anne_hathaway.yuv,EVC,windows,1.27479,772.06,5.16374
interview,anne_hathaway.yuv,EVC,android,1.27,1268.52,4505.55
interview,estoicismo.yuv,EVC,windows,0.927025,741.1,5.16485
interview,estoicismo.yuv,EVC,android,0.92,1267.08,6739.07
interview,judson_brewer.yuv,EVC,windows,1.12159,666.09,5.16597
interview,judson_brewer.yuv,EVC,android,1.12,1116.87,8972.66
interview,pep_guardiola.yuv,EVC,windows,1.10779,721.41,5.16708
interview,pep_guardiola.yuv,EVC,android,1.1,1244.21,11206.1
interview,taylor_swift.yuv,EVC,windows,1.00177,675.2,5.16819
interview,taylor_swift.yuv,EVC,android,1,1189.29,13441.6
interview,ted_agniv_vinoth.yuv,EVC,windows,1.35168,654.77,5.16931
interview,ted_agniv_vinoth.yuv,EVC,android,1.35,1167.89,15671.5
interview,ted_gregory_russell.yuv,EVC,windows,1.0333,497.32,5.17043
interview,ted_gregory_russell.yuv,EVC,android,1.03,874.94,17907.4
interview,ted_lara_boyd.yuv,EVC,windows,1.31701,620.24,5.17154
interview,ted_lara_boyd.yuv,EVC,android,1.31,1154.91,20143.5
interview,wild_project_.yuv,EVC,windows,1.24181,649.9,5.17265
interview,wild_project_.yuv,EVC,android,1.24,1237,22376.9
sport,clasico_lamine.yuv,EVC,windows,4.96173,1236.6,5.14356
sport,clasico_lamine.yuv,EVC,android,4.96,2090.22,2269.18
sport,fcb_madrid.yuv,EVC,windows,5.16645,1065.51,5.14467
sport,fcb_madrid.yuv,EVC,android,5.16,1954.9,4226.69
sport,giro_italia.yuv,EVC,windows,3.30767,933.12,5.14577
sport,giro_italia.yuv,EVC,android,3.31,1815.08,6457.47
sport,kentucky_derby.yuv,EVC,windows,5.1649,1002.22,5.14688
sport,kentucky_derby.yuv,EVC,android,5.16,1984.13,8694.37
sport,red_bull_jackson_goldstone.yuv,EVC,windows,12.9804,1937.62,5.14801
sport,red_bull_jackson_goldstone.yuv,EVC,android,12.98,3696.55,10922.7
sport,red_bull_juanfer_velez.yuv,EVC,windows,5.02986,1140.66,5.14912
sport,red_bull_juanfer_velez.yuv,EVC,android,5.03,2234.16,13159
sport,timberwolves_warriors.yuv,EVC,windows,5.41048,1148.88,5.15024
sport,timberwolves_warriors.yuv,EVC,android,5.41,2246.7,15393.1
sport,tour_de_france.yuv,EVC,windows,6.22326,1229.22,5.15135
sport,tour_de_france.yuv,EVC,android,6.22,2384.95,17623.6
sport,waterpolo_croatia_spain.yuv,EVC,windows,3.30231,857.37,5.15247
sport,waterpolo_croatia_spain.yuv,EVC,android,3.3,1675.56,19853.4
sport,waterpolo_italy_croatia.yuv,EVC,windows,6.60767,1213.65,5.15359
sport,waterpolo_italy_croatia.yuv,EVC,android,6.6,2273.45,22083.4
timelapse,30days.yuv,EVC,windows,2.02702,1508.24,5.13072
timelapse,30days.yuv,EVC,android,2.02,1866.38,2268.54
timelapse,7pm_7am_night_sky.yuv,EVC,windows,1.97638,817.08,5.13184
timelapse,7pm_7am_night_sky.yuv,EVC,android,1.97,1307.87,4502.07
timelapse,bariloche.yuv,EVC,windows,5.13964,1222.15,5.13295
timelapse,bariloche.yuv,EVC,android,5.14,1845.02,6736.1
timelapse,beautiful_sunrise.yuv,EVC,windows,0.258,645.85,5.13407
timelapse,beautiful_sunrise.yuv,EVC,android,0.25,1192.47,8969.86
timelapse,huntington.yuv,EVC,windows,7.14288,1577.78,5.13518
timelapse,huntington.yuv,EVC,android,7.14,2860.07,11189.6
timelapse,kuala_lumpur.yuv,EVC,windows,3.7253,1145.41,5.13629
timelapse,kuala_lumpur.yuv,EVC,android,3.72,1995.12,13422.5
timelapse,milky_way.yuv,EVC,windows,0.952755,961.83,5.1374
timelapse,milky_way.yuv,EVC,android,0.95,1540.16,15658.8
timelapse,residential_building.yuv,EVC,windows,5.19285,1195.49,5.13852
timelapse,residential_building.yuv,EVC,android,5.19,1813.87,17886.1
timelapse,stanislaus.yuv,EVC,windows,0.391622,569.17,5.13963
timelapse,stanislaus.yuv,EVC,android,0.39,982.242,20118.9
timelapse,sunrise_sunset.yuv,EVC,windows,0.365658,643.52,5.14074
timelapse,sunrise_sunset.yuv,EVC,android,0.36,1135.9,22345.5
videoclip,ed_sheeran-shape_of_you.yuv,EVC,windows,1.0226,837.18,5.14673
videoclip,ed_sheeran-shape_of_you.yuv,EVC,android,1.02,1304.97,2269.13
videoclip,justin_bieber-sorry.yuv,EVC,windows,3.17519,916.65,5.14785
videoclip,justin_bieber-sorry.yuv,EVC,android,3.17,1505.77,4503.03
videoclip,katy_perry-roar.yuv,EVC,windows,3.35787,1219.34,5.14896
videoclip,katy_perry-roar.yuv,EVC,android,3.35,2015.14,6739.91
videoclip,luis_fonsi-despacito.yuv,EVC,windows,7.95505,1303.06,5.15008
videoclip,luis_fonsi-despacito.yuv,EVC,android,7.95,1931.18,8973.27
videoclip,mark_ronson-uptown_funk.yuv,EVC,windows,2.93704,1394.48,5.1512
videoclip,mark_ronson-uptown_funk.yuv,EVC,android,2.93,2280.59,11207.1
videoclip,maroon5-sugar.yuv,EVC,windows,3.46837,1227.04,5.15232
videoclip,maroon5-sugar.yuv,EVC,android,3.46,1863.37,13440.9
videoclip,one_republic-counting_stars.yuv,EVC,windows,0.819501,844,5.15344
videoclip,one_republic-counting_stars.yuv,EVC,android,0.82,1342.4,15674.7
videoclip,psy-gangnam_style.yuv,EVC,windows,2.90811,1029.88,5.15456
videoclip,psy-gangnam_style.yuv,EVC,android,2.9,1632.77,17908.5
videoclip,waka_waka.yuv,EVC,windows,4.11615,1314.59,5.15567
videoclip,waka_waka.yuv,EVC,android,4.11,1890.24,20143.8
videoclip,wiz_khalifa-see_you_again.yuv,EVC,windows,0.650639,708.33,5.15679
videoclip,wiz_khalifa-see_you_again.yuv,EVC,android,0.65,1065.02,22376.5
videogame,ballad_of_antara.yuv,EVC,windows,5.43735,1238.81,5.13073
videogame,ballad_of_antara.yuv,EVC,android,5.43,1961.73,2277.6
videogame,cyberpunk_2077.yuv,EVC,windows,3.67548,1473.13,5.13185
videogame,cyberpunk_2077.yuv,EVC,android,3.67,2621.82,4504.41
videogame,doom_the_dark_ages.yuv,EVC,windows,4.19294,1456.73,5.13297
videogame,doom_the_dark_ages.yuv,EVC,android,4.19,2498.65,6737.66
videogame,fc25.yuv,EVC,windows,2.31841,825.2,5.13407
videogame,fc25.yuv,EVC,android,2.31,1486.26,8971.33
videogame,fortnite.yuv,EVC,windows,3.26912,1199.19,5.13518
videogame,fortnite.yuv,EVC,android,3.27,2018.74,11204.6
videogame,mario_kart.yuv,EVC,windows,7.80721,1531.82,5.13629
videogame,mario_kart.yuv,EVC,android,7.8,2554.11,13437.2
videogame,nfs.yuv,EVC,windows,2.02889,899.89,5.13739
videogame,nfs.yuv,EVC,android,2.03,1731.12,15672.1
videogame,rocket_league.yuv,EVC,windows,11.3742,1730.62,5.1385
videogame,rocket_league.yuv,EVC,android,11.37,3002.43,17907.4
videogame,the_last_of_us_2.yuv,EVC,windows,3.04137,961.21,5.13962
videogame,the_last_of_us_2.yuv,EVC,android,3.04,1835.49,20140.6
videogame,tides_of_annihilation.yuv,EVC,windows,2.77081,1036.96,5.14074
videogame,tides_of_annihilation.yuv,EVC,android,2.77,1940.86,22374.7
cartoon,babybus.yuv,VVC,windows,1.26716,478.67,5.14126
cartoon,babybus.yuv,VVC,android,1.26,663.824,2230.05
cartoon,babybus.yuv,VVC,android,1.26,663.824,2230.05
cartoon,bernard.yuv,VVC,windows,1.57233,457.27,5.14175
cartoon,bernard.yuv,VVC,android,1.56,874.694,4457.63
cartoon,bernard.yuv,VVC,android,1.56,874.694,4457.63
cartoon,blanket.yuv,VVC,windows,1.53112,478.86,5.14223
cartoon,blanket.yuv,VVC,android,1.52,909.986,6685.73
cartoon,blanket.yuv,VVC,android,1.52,909.986,6685.73
cartoon,boulle.yuv,VVC,windows,0.951655,356.24,5.14272
cartoon,boulle.yuv,VVC,android,0.94,705.185,8914.13
cartoon,boulle.yuv,VVC,android,0.94,705.185,8914.13
cartoon,paw_patrol.yuv,VVC,windows,2.83945,681.85,5.1432
cartoon,paw_patrol.yuv,VVC,android,2.83,1293.58,11150.4
cartoon,paw_patrol.yuv,VVC,android,2.83,1293.58,11150.4
cartoon,penguins_of_madagascar.yuv,VVC,windows,2.52837,621.75,5.14369
cartoon,penguins_of_madagascar.yuv,VVC,android,2.52,1302.41,13382.4
cartoon,penguins_of_madagascar.yuv,VVC,android,2.52,1302.41,13382.4
cartoon,peppa_pig.yuv,VVC,windows,1.30535,439.1,5.14418
cartoon,peppa_pig.yuv,VVC,android,1.3,766.712,15612
cartoon,peppa_pig.yuv,VVC,android,1.3,766.712,15612
cartoon,pocoyo.yuv,VVC,windows,0.732918,325.16,5.14466
cartoon,pocoyo.yuv,VVC,android,0.72,573.908,17844.5
cartoon,pocoyo.yuv,VVC,android,0.72,573.908,17844.5
cartoon,shaun_the_sheep.yuv,VVC,windows,3.96735,626.28,5.14515
cartoon,shaun_the_sheep.yuv,VVC,android,3.96,1113.62,20075.5
cartoon,shaun_the_sheep.yuv,VVC,android,3.96,1113.62,20075.5
cartoon,tom_and_jerry.yuv,VVC,windows,1.27919,461.52,5.14564
cartoon,tom_and_jerry.yuv,VVC,android,1.27,774.985,22311
